State,Sector,Claim_Type,Confidence_Score,If_predict
MD,56,initial,0.591,True
MD,61,initial,0.823,True
MD,62,initial,0.451,True
MD,71,initial,0.717,True
MD,72,initial,0.394,True
MD,81,initial,0.739,True
MD,92,initial,0.727,True
MA,11,initial,,False
MA,21,initial,,False
MA,22,initial,,False
MA,23,initial,,False
MA,31,initial,,False
MA,42,initial,,False
MA,44,initial,,False
MA,48,initial,,False
MA,51,initial,,False
MA,52,initial,,False
MA,53,initial,,False
MA,54,initial,,False
MA,56,initial,,False
MA,61,initial,,False
MA,62,initial,,False
MA,71,initial,,False
MA,72,initial,,False
MA,81,initial,,False
MA,92,initial,,False
MI,11,initial,0.631,True
MI,21,initial,0.586,True
MI,22,initial,0.915,True
MI,23,initial,0.501,True
MI,31,initial,0.308,True
MI,42,initial,0.482,True
MI,44,initial,0.28,True
MI,48,initial,0.874,True
MI,51,initial,0.835,True
MI,52,initial,0.38,True
MI,53,initial,0.69,True
MI,54,initial,0.394,True
MI,56,initial,0.849,True
MI,61,initial,0.54,True
MI,62,initial,0.291,True
MI,71,initial,0.694,True
MI,72,initial,0.308,True
MI,81,initial,0.876,True
MI,92,initial,0.9,True
MN,11,initial,0.68,True
MN,21,initial,0.421,True
MN,22,initial,0.792,True
MN,23,initial,0.278,True
MN,31,initial,0.328,True
MN,42,initial,0.463,True
MN,44,initial,0.301,True
MN,48,initial,0.862,True
MN,51,initial,0.718,True
MN,52,initial,0.816,True
MN,53,initial,0.71,True
MN,54,initial,0.407,True
MN,56,initial,0.445,True
MN,61,initial,0.676,True
MN,62,initial,0.804,True
MN,71,initial,0.688,True
MN,72,initial,0.475,True
MN,81,initial,0.81,True
MN,92,initial,0.537,True
MS,11,initial,0.69,True
MS,21,initial,0.845,True
MS,22,initial,0.715,True
MS,23,initial,0.572,True
MS,31,initial,0.663,True
MS,42,initial,0.393,True
MS,44,initial,0.556,True
MS,48,initial,0.833,True
MS,51,initial,0.589,True
MS,52,initial,0.262,True
MS,53,initial,0.82,True
MS,54,initial,0.358,True
MS,56,initial,0.273,True
MS,61,initial,0.655,True
MS,62,initial,0.788,True
MS,71,initial,0.329,True
MS,72,initial,0.561,True
MS,81,initial,0.573,True
MS,92,initial,0.336,True
MO,11,initial,0.69,True
MO,21,initial,0.426,True
MO,22,initial,0.734,True
MO,23,initial,0.602,True
MO,31,initial,0.617,True
MO,42,initial,0.412,True
MO,44,initial,0.784,True
MO,48,initial,0.258,True
MO,51,initial,0.469,True
MO,52,initial,0.322,True
MO,53,initial,0.31,True
MO,54,initial,0.258,True
MO,56,initial,0.616,True
MO,61,initial,0.3,True
MO,62,initial,0.33,True
MO,71,initial,0.553,True
MO,72,initial,0.726,True
MO,81,initial,0.392,True
MO,92,initial,0.71,True
MT,11,initial,0.641,True
MT,21,initial,0.897,True
MT,22,initial,0.817,True
MT,23,initial,0.944,True
MT,31,initial,0.5,True
MT,42,initial,0.87,True
MT,44,initial,0.475,True
MT,48,initial,0.448,True
MT,51,initial,0.548,True
MT,52,initial,0.266,True
MT,53,initial,0.756,True
MT,54,initial,0.312,True
MT,56,initial,0.679,True
MT,61,initial,0.291,True
MT,62,initial,0.549,True
MT,71,initial,0.427,True
MT,72,initial,0.912,True
MT,81,initial,0.459,True
MT,92,initial,0.5,True
NE,11,initial,0.465,True
NE,21,initial,0.337,True
NE,22,initial,0.701,True
NE,23,initial,0.462,True
NE,31,initial,0.44,True
NE,42,initial,0.469,True
NE,44,initial,0.497,True
NE,48,initial,0.805,True
NE,51,initial,0.401,True
NE,52,initial,0.337,True
NE,53,initial,0.481,True
NE,54,initial,0.649,True
NE,56,initial,0.448,True
NE,61,initial,0.327,True
NE,62,initial,0.5,True
NE,71,initial,0.923,True
NE,72,initial,0.877,True
NE,81,initial,0.561,True
NE,92,initial,0.553,True
NV,11,initial,0.371,True
NV,21,initial,0.72,True
NV,22,initial,0.755,True
NV,23,initial,0.431,True
NV,31,initial,0.688,True
NV,42,initial,0.321,True
NV,44,initial,0.47,True
NV,48,initial,0.452,True
NV,51,initial,0.808,True
NV,52,initial,0.683,True
NV,53,initial,0.608,True
NV,54,initial,0.556,True
NV,56,initial,0.636,True
NV,61,initial,0.587,True
NV,62,initial,0.43,True
NV,71,initial,0.832,True
NV,72,initial,0.808,True
NV,81,initial,0.521,True
NV,92,initial,0.532,True
NH,11,initial,0.898,True
NH,21,initial,0.264,True
NH,22,initial,0.786,True
NH,23,initial,0.368,True
NH,31,initial,0.383,True
NH,42,initial,0.495,True
NH,44,initial,0.687,True
NH,48,initial,0.474,True
NH,51,initial,0.612,True
NH,52,initial,0.609,True
NH,53,initial,0.894,True
NH,54,initial,0.656,True
NH,56,initial,0.439,True
NH,61,initial,0.693,True
NH,62,initial,0.639,True
NH,71,initial,0.462,True
NH,72,initial,0.757,True
NH,81,initial,0.256,True
NH,92,initial,0.94,True
NJ,11,initial,0.862,True
NJ,21,initial,0.292,True
NJ,22,initial,0.748,True
NJ,23,initial,0.341,True
NJ,31,initial,0.943,True
NJ,42,initial,0.567,True
NJ,44,initial,0.772,True
NJ,48,initial,0.429,True
NJ,51,initial,0.708,True
NJ,52,initial,0.27,True
NJ,53,initial,0.809,True
NJ,54,initial,0.436,True
NJ,56,initial,0.371,True
NJ,61,initial,0.559,True
NJ,62,initial,0.601,True
NJ,71,initial,0.282,True
NJ,72,initial,0.367,True
NJ,81,initial,0.517,True
NJ,92,initial,0.631,True
NM,11,initial,0.74,True
NM,21,initial,0.345,True
NM,22,initial,0.826,True
NM,23,initial,0.502,True
NM,31,initial,0.944,True
NM,42,initial,0.51,True
NM,44,initial,0.563,True
NM,48,initial,0.502,True
NM,51,initial,0.306,True
NM,52,initial,0.899,True
NM,53,initial,0.664,True
NM,54,initial,0.78,True
NM,56,initial,0.358,True
NM,61,initial,0.59,True
NM,62,initial,0.45,True
NM,71,initial,0.44,True
NM,72,initial,0.526,True
NM,81,initial,0.688,True
NM,92,initial,0.57,True
NY,11,initial,,False
NY,21,initial,,False
NY,22,initial,,False
NY,23,initial,,False
NY,31,initial,,False
NY,42,initial,,False
NY,44,initial,,False
NY,48,initial,,False
NY,51,initial,,False
NY,52,initial,,False
NY,53,initial,,False
NY,54,initial,,False
NY,56,initial,,False
NY,61,initial,,False
NY,62,initial,,False
NY,71,initial,,False
NY,72,initial,,False
NY,81,initial,,False
NY,92,initial,,False
NC,11,initial,,False
NC,21,initial,,False
NC,22,initial,,False
NC,23,initial,,False
NC,31,initial,,False
NC,42,initial,,False
NC,44,initial,,False
NC,48,initial,,False
NC,51,initial,,False
NC,52,initial,,False
NC,53,initial,,False
NC,54,initial,,False
NC,56,initial,,False
NC,61,initial,,False
NC,62,initial,,False
NC,71,initial,,False
NC,72,initial,,False
NC,81,initial,,False
NC,92,initial,,False
ND,11,initial,0.739,True
ND,21,initial,0.942,True
ND,22,initial,0.663,True
ND,23,initial,0.81,True
ND,31,initial,0.916,True
ND,42,initial,0.93,True
ND,44,initial,0.494,True
ND,48,initial,0.836,True
ND,51,initial,0.738,True
ND,52,initial,0.264,True
ND,53,initial,0.824,True
ND,54,initial,0.878,True
ND,56,initial,0.877,True
ND,61,initial,0.486,True
ND,62,initial,0.758,True
ND,71,initial,0.829,True
ND,72,initial,0.561,True
ND,81,initial,0.696,True
ND,92,initial,0.517,True
OH,11,initial,,False
OH,21,initial,,False
OH,22,initial,,False
OH,23,initial,,False
OH,31,initial,,False
OH,42,initial,,False
OH,44,initial,,False
OH,48,initial,,False
OH,51,initial,,False
OH,52,initial,,False
OH,53,initial,,False
OH,54,initial,,False
OH,56,initial,,False
OH,61,initial,,False
OH,62,initial,,False
OH,71,initial,,False
OH,72,initial,,False
OH,81,initial,,False
OH,92,initial,,False
OK,11,initial,,False
OK,21,initial,,False
OK,22,initial,,False
OK,23,initial,,False
OK,31,initial,,False
OK,42,initial,,False
OK,44,initial,,False
OK,48,initial,,False
OK,51,initial,,False
OK,52,initial,,False
OK,53,initial,,False
OK,54,initial,,False
OK,56,initial,,False
OK,61,initial,,False
OK,62,initial,,False
OK,71,initial,,False
OK,72,initial,,False
OK,81,initial,,False
OK,92,initial,,False
OR,11,initial,,False
OR,21,initial,,False
OR,22,initial,,False
OR,23,initial,,False
OR,31,initial,,False
OR,42,initial,,False
OR,44,initial,,False
OR,48,initial,,False
OR,51,initial,,False
OR,52,initial,,False
OR,53,initial,,False
OR,54,initial,,False
OR,56,initial,,False
OR,61,initial,,False
OR,62,initial,,False
OR,71,initial,,False
OR,72,initial,,False
OR,81,initial,,False
OR,92,initial,,False
PA,11,initial,,False
PA,21,initial,,False
PA,22,initial,,False
